C-R
f	тву	юву
615	0.581	0.611
616	0.581	0.612
617	0.58	0.613
618	0.58	0.613
619	0.579	0.614
620	0.579	0.615
621	0.578	0.615
622	0.578	0.616
623	0.577	0.616
624	0.577	0.617
625	0.576	0.618
626	0.576	0.618
627	0.575	0.619
628	0.575	0.619
629	0.574	0.62
630	0.574	0.621
631	0.573	0.621
632	0.573	0.622
633	0.572	0.623
634	0.572	0.623
635	0.571	0.624
636	0.571	0.624
637	0.57	0.625
638	0.57	0.626
639	0.569	0.626
640	0.569	0.627
641	0.568	0.627
642	0.568	0.628
643	0.567	0.628
644	0.567	0.629
645	0.566	0.63
646	0.566	0.63
647	0.565	0.631
648	0.565	0.631
649	0.564	0.632
650	0.564	0.633
651	0.563	0.633
652	0.563	0.634
653	0.563	0.634
654	0.562	0.635
655	0.562	0.636
656	0.561	0.636
657	0.561	0.637
658	0.56	0.637
659	0.56	0.638
660	0.559	0.638
661	0.559	0.639
662	0.558	0.64
663	0.558	0.64
664	0.557	0.641
665	0.557	0.641
666	0.556	0.642
667	0.556	0.642
668	0.555	0.643
669	0.555	0.644
670	0.554	0.644
671	0.554	0.645
672	0.554	0.645
673	0.553	0.646
674	0.553	0.646
675	0.552	0.647
676	0.552	0.647
677	0.551	0.648
678	0.551	0.649
679	0.55	0.649
680	0.55	0.65
681	0.549	0.65
682	0.549	0.651
683	0.548	0.651
684	0.548	0.652
685	0.548	0.652
686	0.547	0.653
687	0.547	0.653
688	0.546	0.654
689	0.546	0.655
690	0.545	0.655
691	0.545	0.656
692	0.544	0.656
693	0.544	0.657
694	0.543	0.657
695	0.543	0.658
696	0.543	0.658
697	0.542	0.659
698	0.542	0.659
699	0.541	0.66
700	0.541	0.66
701	0.54	0.661
702	0.54	0.662
703	0.539	0.662
704	0.539	0.663
705	0.538	0.663
706	0.538	0.664
707	0.538	0.664
708	0.537	0.665
709	0.537	0.665
710	0.536	0.666
711	0.536	0.666
712	0.535	0.667
713	0.535	0.667
714	0.534	0.668
715	0.534	0.668
716	0.534	0.669
717	0.533	0.669
718	0.533	0.67
719	0.532	0.67
720	0.532	0.671
721	0.531	0.671
722	0.531	0.672
723	0.53	0.672
724	0.53	0.673
725	0.53	0.673
726	0.529	0.674
727	0.529	0.674
728	0.528	0.675
729	0.528	0.675
730	0.527	0.676
731	0.527	0.676
732	0.527	0.677
733	0.526	0.678
734	0.526	0.678
735	0.525	0.678
736	0.525	0.679
737	0.524	0.679
738	0.524	0.68
739	0.524	0.68
740	0.523	0.681
741	0.523	0.681
742	0.522	0.682
743	0.522	0.682
744	0.521	0.683
745	0.521	0.683
746	0.521	0.684
747	0.52	0.684
748	0.52	0.685
749	0.519	0.685
750	0.519	0.686
751	0.518	0.686
752	0.518	0.687
753	0.518	0.687
754	0.517	0.688
755	0.517	0.688
756	0.516	0.689
757	0.516	0.689
758	0.515	0.69
759	0.515	0.69
760	0.515	0.691
761	0.514	0.691
762	0.514	0.692
763	0.513	0.692
764	0.513	0.693
765	0.513	0.693
766	0.512	0.694
767	0.512	0.694
768	0.511	0.694
769	0.511	0.695
770	0.51	0.695
771	0.51	0.696
772	0.51	0.696
773	0.509	0.697
774	0.509	0.697
775	0.508	0.698
776	0.508	0.698
777	0.508	0.699
778	0.507	0.699
779	0.507	0.7
780	0.506	0.7
781	0.506	0.7
782	0.506	0.701
783	0.505	0.701
784	0.505	0.702
785	0.504	0.702
786	0.504	0.703
787	0.504	0.703
788	0.503	0.704
789	0.503	0.704
790	0.502	0.705
791	0.502	0.705
792	0.502	0.705
793	0.501	0.706
794	0.501	0.706
795	0.5	0.707
796	0.5	0.707
797	0.5	0.708
798	0.499	0.708
799	0.499	0.709
800	0.498	0.709
801	0.498	0.709
802	0.498	0.71
803	0.497	0.71
804	0.497	0.711
805	0.496	0.711
806	0.496	0.712
807	0.496	0.712
808	0.495	0.712
809	0.495	0.713
810	0.494	0.713
811	0.494	0.714
812	0.494	0.714
813	0.493	0.715
814	0.493	0.715
815	0.492	0.715
816	0.492	0.716
817	0.492	0.716
818	0.491	0.717
819	0.491	0.717
820	0.49	0.718
821	0.49	0.718
822	0.49	0.718
823	0.489	0.719
824	0.489	0.719
825	0.489	0.72
826	0.488	0.72
827	0.488	0.721
828	0.487	0.721
829	0.487	0.721
830	0.487	0.722
831	0.486	0.722
832	0.486	0.723
833	0.485	0.723
834	0.485	0.723
835	0.485	0.724
836	0.484	0.724
837	0.484	0.725
838	0.484	0.725
839	0.483	0.726
840	0.483	0.726
841	0.482	0.726
842	0.482	0.727
843	0.482	0.727
844	0.481	0.728
845	0.481	0.728
846	0.481	0.728
847	0.48	0.729
848	0.48	0.729
849	0.479	0.73
850	0.479	0.73
851	0.479	0.73
852	0.478	0.731
853	0.478	0.731
854	0.478	0.732
855	0.477	0.732
856	0.477	0.732
857	0.476	0.733
858	0.476	0.733
859	0.476	0.734
860	0.475	0.734
861	0.475	0.734
862	0.475	0.735
863	0.474	0.735
864	0.474	0.736
865	0.473	0.736
866	0.473	0.736
867	0.473	0.737
868	0.472	0.737
869	0.472	0.737
870	0.472	0.738
871	0.471	0.738
872	0.471	0.739
873	0.471	0.739
874	0.47	0.739
875	0.47	0.74
876	0.469	0.74
877	0.469	0.741
878	0.469	0.741
879	0.468	0.741
880	0.468	0.742
881	0.468	0.742
882	0.467	0.742
883	0.467	0.743
884	0.467	0.743
885	0.466	0.744
886	0.466	0.744
887	0.466	0.744
888	0.465	0.745
889	0.465	0.745
890	0.464	0.745
891	0.464	0.746
892	0.464	0.746
893	0.463	0.747
894	0.463	0.747
895	0.463	0.747
896	0.462	0.748
897	0.462	0.748
898	0.462	0.748
899	0.461	0.749
900	0.461	0.749
901	0.461	0.75
902	0.46	0.75
903	0.46	0.75
904	0.46	0.751
905	0.459	0.751
906	0.459	0.751
907	0.458	0.752
908	0.458	0.752
909	0.458	0.752
910	0.457	0.753
911	0.457	0.753
912	0.457	0.753
913	0.456	0.754
914	0.456	0.754
915	0.456	0.755
916	0.455	0.755
917	0.455	0.755
918	0.455	0.756
919	0.454	0.756
920	0.454	0.756
921	0.454	0.757
922	0.453	0.757
923	0.453	0.757
924	0.453	0.758
925	0.452	0.758
926	0.452	0.758
927	0.452	0.759
928	0.451	0.759
929	0.451	0.759
930	0.451	0.76
931	0.45	0.76
932	0.45	0.76
933	0.45	0.761
934	0.449	0.761
935	0.449	0.762
936	0.449	0.762
937	0.448	0.762
938	0.448	0.763
939	0.448	0.763
940	0.447	0.763
941	0.447	0.764
942	0.447	0.764
943	0.446	0.764
944	0.446	0.765
945	0.446	0.765
946	0.445	0.765
947	0.445	0.766
948	0.445	0.766
949	0.444	0.766
950	0.444	0.767
951	0.444	0.767
952	0.443	0.767
953	0.443	0.768
954	0.443	0.768
955	0.442	0.768
956	0.442	0.769
957	0.442	0.769
958	0.441	0.769
959	0.441	0.77
960	0.441	0.77
961	0.44	0.77
962	0.44	0.771
963	0.44	0.771
964	0.439	0.771
965	0.439	0.772
966	0.439	0.772
967	0.438	0.772
968	0.438	0.772
969	0.438	0.773
970	0.437	0.773
971	0.437	0.773
972	0.437	0.774
973	0.436	0.774
974	0.436	0.774
975	0.436	0.775
976	0.435	0.775
977	0.435	0.775
978	0.435	0.776
979	0.435	0.776
980	0.434	0.776
981	0.434	0.777
982	0.434	0.777
983	0.433	0.777
984	0.433	0.778
985	0.433	0.778
986	0.432	0.778
987	0.432	0.778
988	0.432	0.779
989	0.431	0.779
990	0.431	0.779
991	0.431	0.78
992	0.43	0.78
993	0.43	0.78
994	0.43	0.781
995	0.429	0.781
996	0.429	0.781
997	0.429	0.782
998	0.429	0.782
999	0.428	0.782
1000	0.428	0.782
1001	0.428	0.783
1002	0.427	0.783
1003	0.427	0.783
1004	0.427	0.784
1005	0.426	0.784
1006	0.426	0.784
1007	0.426	0.785
1008	0.425	0.785
1009	0.425	0.785
1010	0.425	0.785
1011	0.425	0.786
1012	0.424	0.786
1013	0.424	0.786
1014	0.424	0.787
1015	0.423	0.787
1016	0.423	0.787
1017	0.423	0.788
1018	0.422	0.788
1019	0.422	0.788
1020	0.422	0.788
1021	0.421	0.789
1022	0.421	0.789
1023	0.421	0.789
1024	0.421	0.79
1025	0.42	0.79
1026	0.42	0.79
1027	0.42	0.79
1028	0.419	0.791
1029	0.419	0.791
1030	0.419	0.791
1031	0.418	0.792
1032	0.418	0.792
1033	0.418	0.792
1034	0.418	0.792
1035	0.417	0.793
1036	0.417	0.793
1037	0.417	0.793
1038	0.416	0.794
1039	0.416	0.794
1040	0.416	0.794
1041	0.416	0.794
1042	0.415	0.795
1043	0.415	0.795
1044	0.415	0.795
1045	0.414	0.796
1046	0.414	0.796
1047	0.414	0.796
1048	0.413	0.796
1049	0.413	0.797
1050	0.413	0.797
1051	0.413	0.797
1052	0.412	0.798
1053	0.412	0.798
1054	0.412	0.798
1055	0.411	0.798
1056	0.411	0.799
1057	0.411	0.799
1058	0.411	0.799
1059	0.41	0.799
1060	0.41	0.8
1061	0.41	0.8
1062	0.409	0.8
1063	0.409	0.801
1064	0.409	0.801
1065	0.409	0.801
1066	0.408	0.801
1067	0.408	0.802
1068	0.408	0.802
1069	0.407	0.802
1070	0.407	0.802
1071	0.407	0.803
1072	0.407	0.803
1073	0.406	0.803
1074	0.406	0.803
1075	0.406	0.804
1076	0.405	0.804
1077	0.405	0.804
1078	0.405	0.805
1079	0.405	0.805
1080	0.404	0.805
1081	0.404	0.805
1082	0.404	0.806
1083	0.403	0.806
1084	0.403	0.806
1085	0.403	0.806
1086	0.403	0.807
1087	0.402	0.807
1088	0.402	0.807
1089	0.402	0.807
1090	0.401	0.808
1091	0.401	0.808
1092	0.401	0.808
1093	0.401	0.808
1094	0.4	0.809
1095	0.4	0.809
1096	0.4	0.809
1097	0.4	0.809
1098	0.399	0.81
1099	0.399	0.81
1100	0.399	0.81
1101	0.398	0.81
1102	0.398	0.811
1103	0.398	0.811
1104	0.398	0.811
1105	0.397	0.811
1106	0.397	0.812
1107	0.397	0.812
1108	0.397	0.812
1109	0.396	0.812
1110	0.396	0.813
1111	0.396	0.813
1112	0.395	0.813
1113	0.395	0.813
1114	0.395	0.814
1115	0.395	0.814
1116	0.394	0.814
1117	0.394	0.814
1118	0.394	0.815
1119	0.394	0.815
1120	0.393	0.815
1121	0.393	0.815
1122	0.393	0.816
1123	0.392	0.816
1124	0.392	0.816
1125	0.392	0.816
1126	0.392	0.817
1127	0.391	0.817
1128	0.391	0.817
1129	0.391	0.817
1130	0.391	0.818
1131	0.39	0.818
1132	0.39	0.818
1133	0.39	0.818
1134	0.39	0.819
1135	0.389	0.819
1136	0.389	0.819
1137	0.389	0.819
1138	0.388	0.82
1139	0.388	0.82
1140	0.388	0.82
1141	0.388	0.82
1142	0.387	0.82
1143	0.387	0.821
1144	0.387	0.821
1145	0.387	0.821
1146	0.386	0.821
1147	0.386	0.822
1148	0.386	0.822
1149	0.386	0.822
1150	0.385	0.822
1151	0.385	0.823
1152	0.385	0.823
1153	0.385	0.823
1154	0.384	0.823
1155	0.384	0.823
1156	0.384	0.824
1157	0.384	0.824
1158	0.383	0.824
1159	0.383	0.824
1160	0.383	0.825
1161	0.383	0.825
1162	0.382	0.825
1163	0.382	0.825
1164	0.382	0.826
1165	0.382	0.826
1166	0.381	0.826
1167	0.381	0.826
1168	0.381	0.826
1169	0.38	0.827
1170	0.38	0.827
1171	0.38	0.827
1172	0.38	0.827
1173	0.379	0.828
1174	0.379	0.828
1175	0.379	0.828
1176	0.379	0.828
1177	0.378	0.828
1178	0.378	0.829
1179	0.378	0.829
1180	0.378	0.829
1181	0.377	0.829
1182	0.377	0.83
1183	0.377	0.83
1184	0.377	0.83
1185	0.376	0.83
1186	0.376	0.83
1187	0.376	0.831
1188	0.376	0.831
1189	0.375	0.831
1190	0.375	0.831
1191	0.375	0.831
1192	0.375	0.832
1193	0.374	0.832
1194	0.374	0.832
1195	0.374	0.832
1196	0.374	0.833
1197	0.374	0.833
1198	0.373	0.833
1199	0.373	0.833
1200	0.373	0.833
1201	0.373	0.834
1202	0.372	0.834
1203	0.372	0.834
1204	0.372	0.834
1205	0.372	0.834
1206	0.371	0.835
1207	0.371	0.835
1208	0.371	0.835
1209	0.371	0.835
1210	0.37	0.836
1211	0.37	0.836
1212	0.37	0.836
1213	0.37	0.836
1214	0.369	0.836
1215	0.369	0.837
1216	0.369	0.837
1217	0.369	0.837
1218	0.368	0.837
1219	0.368	0.837
1220	0.368	0.838
1221	0.368	0.838
1222	0.367	0.838
1223	0.367	0.838
1224	0.367	0.838
1225	0.367	0.839
1226	0.367	0.839
1227	0.366	0.839
1228	0.366	0.839
1229	0.366	0.839
1230	0.366	0.84
1231	0.365	0.84
1232	0.365	0.84
1233	0.365	0.84
1234	0.365	0.84
1235	0.364	0.841
1236	0.364	0.841
1237	0.364	0.841
1238	0.364	0.841
1239	0.363	0.841
1240	0.363	0.842
1241	0.363	0.842
1242	0.363	0.842
1243	0.363	0.842
1244	0.362	0.842
1245	0.362	0.843
1246	0.362	0.843
1247	0.362	0.843
1248	0.361	0.843
1249	0.361	0.843
1250	0.361	0.844
1251	0.361	0.844
1252	0.36	0.844
1253	0.36	0.844
1254	0.36	0.844
1255	0.36	0.845
1256	0.36	0.845
1257	0.359	0.845
1258	0.359	0.845
1259	0.359	0.845
1260	0.359	0.845
1261	0.358	0.846
1262	0.358	0.846
1263	0.358	0.846
1264	0.358	0.846
1265	0.357	0.846
1266	0.357	0.847
1267	0.357	0.847
1268	0.357	0.847
1269	0.357	0.847
1270	0.356	0.847
1271	0.356	0.848
1272	0.356	0.848
1273	0.356	0.848
1274	0.355	0.848
1275	0.355	0.848
1276	0.355	0.849
1277	0.355	0.849
1278	0.355	0.849
1279	0.354	0.849
1280	0.354	0.849
1281	0.354	0.849
1282	0.354	0.85
1283	0.353	0.85
1284	0.353	0.85
1285	0.353	0.85
1286	0.353	0.85
1287	0.353	0.851
1288	0.352	0.851
1289	0.352	0.851
1290	0.352	0.851
1291	0.352	0.851
1292	0.351	0.851
1293	0.351	0.852
1294	0.351	0.852
1295	0.351	0.852
1296	0.351	0.852
1297	0.35	0.852
1298	0.35	0.853
1299	0.35	0.853
1300	0.35	0.853
1301	0.349	0.853
1302	0.349	0.853
1303	0.349	0.853
1304	0.349	0.854
1305	0.349	0.854
1306	0.348	0.854
1307	0.348	0.854
1308	0.348	0.854
1309	0.348	0.854
1310	0.348	0.855
1311	0.347	0.855
1312	0.347	0.855
1313	0.347	0.855
1314	0.347	0.855
1315	0.346	0.856
1316	0.346	0.856
1317	0.346	0.856
1318	0.346	0.856
1319	0.346	0.856
1320	0.345	0.856
1321	0.345	0.857
1322	0.345	0.857
1323	0.345	0.857
1324	0.345	0.857
1325	0.344	0.857
1326	0.344	0.857
1327	0.344	0.858
1328	0.344	0.858
1329	0.343	0.858
1330	0.343	0.858
1331	0.343	0.858
1332	0.343	0.858
1333	0.343	0.859
1334	0.342	0.859
1335	0.342	0.859
1336	0.342	0.859
1337	0.342	0.859
1338	0.342	0.859
1339	0.341	0.86
1340	0.341	0.86
1341	0.341	0.86
1342	0.341	0.86
1343	0.341	0.86
1344	0.34	0.86
1345	0.34	0.861
1346	0.34	0.861
1347	0.34	0.861
1348	0.339	0.861
1349	0.339	0.861
1350	0.339	0.861
1351	0.339	0.862
1352	0.339	0.862
1353	0.338	0.862
1354	0.338	0.862
1355	0.338	0.862
1356	0.338	0.862
1357	0.338	0.863
1358	0.337	0.863
1359	0.337	0.863
