R-C
f	тву	юву
751	0.518	0.727
752	0.518	0.727
753	0.518	0.726
754	0.517	0.726
755	0.517	0.725
756	0.516	0.725
757	0.516	0.725
758	0.515	0.724
759	0.515	0.724
760	0.515	0.723
761	0.514	0.723
762	0.514	0.722
763	0.513	0.722
764	0.513	0.721
765	0.513	0.721
766	0.512	0.72
767	0.512	0.72
768	0.511	0.72
769	0.511	0.719
770	0.51	0.719
771	0.51	0.718
772	0.51	0.718
773	0.509	0.717
774	0.509	0.717
775	0.508	0.716
776	0.508	0.716
777	0.508	0.715
778	0.507	0.715
779	0.507	0.715
780	0.506	0.714
781	0.506	0.714
782	0.506	0.713
783	0.505	0.713
784	0.505	0.712
785	0.504	0.712
786	0.504	0.711
787	0.504	0.711
788	0.503	0.711
789	0.503	0.71
790	0.502	0.71
791	0.502	0.709
792	0.502	0.709
793	0.501	0.708
794	0.501	0.708
795	0.5	0.707
796	0.5	0.707
797	0.5	0.707
798	0.499	0.706
799	0.499	0.706
800	0.498	0.705
801	0.498	0.705
802	0.498	0.704
803	0.497	0.704
804	0.497	0.703
805	0.496	0.703
806	0.496	0.703
807	0.496	0.702
808	0.495	0.702
809	0.495	0.701
810	0.494	0.701
811	0.494	0.7
812	0.494	0.7
813	0.493	0.699
814	0.493	0.699
815	0.492	0.699
816	0.492	0.698
817	0.492	0.698
818	0.491	0.697
819	0.491	0.697
820	0.49	0.696
821	0.49	0.696
822	0.49	0.696
823	0.489	0.695
824	0.489	0.695
825	0.489	0.694
826	0.488	0.694
827	0.488	0.693
828	0.487	0.693
829	0.487	0.693
830	0.487	0.692
831	0.486	0.692
832	0.486	0.691
833	0.485	0.691
834	0.485	0.69
835	0.485	0.69
836	0.484	0.689
837	0.484	0.689
838	0.484	0.689
839	0.483	0.688
840	0.483	0.688
841	0.482	0.687
842	0.482	0.687
843	0.482	0.686
844	0.481	0.686
845	0.481	0.686
846	0.481	0.685
847	0.48	0.685
848	0.48	0.684
849	0.479	0.684
850	0.479	0.683
851	0.479	0.683
852	0.478	0.683
853	0.478	0.682
854	0.478	0.682
855	0.477	0.681
856	0.477	0.681
857	0.476	0.68
858	0.476	0.68
859	0.476	0.68
860	0.475	0.679
861	0.475	0.679
862	0.475	0.678
863	0.474	0.678
864	0.474	0.677
865	0.473	0.677
866	0.473	0.677
867	0.473	0.676
868	0.472	0.676
869	0.472	0.675
870	0.472	0.675
871	0.471	0.675
872	0.471	0.674
873	0.471	0.674
874	0.47	0.673
875	0.47	0.673
876	0.469	0.672
877	0.469	0.672
878	0.469	0.672
879	0.468	0.671
880	0.468	0.671
881	0.468	0.67
882	0.467	0.67
883	0.467	0.669
884	0.467	0.669
885	0.466	0.669
886	0.466	0.668
887	0.466	0.668
888	0.465	0.667
889	0.465	0.667
890	0.464	0.667
891	0.464	0.666
892	0.464	0.666
893	0.463	0.665
894	0.463	0.665
895	0.463	0.664
896	0.462	0.664
897	0.462	0.664
898	0.462	0.663
899	0.461	0.663
900	0.461	0.662
901	0.461	0.662
902	0.46	0.662
903	0.46	0.661
904	0.46	0.661
905	0.459	0.66
906	0.459	0.66
907	0.458	0.66
908	0.458	0.659
909	0.458	0.659
910	0.457	0.658
911	0.457	0.658
912	0.457	0.657
913	0.456	0.657
914	0.456	0.657
915	0.456	0.656
916	0.455	0.656
917	0.455	0.655
918	0.455	0.655
919	0.454	0.655
920	0.454	0.654
921	0.454	0.654
922	0.453	0.653
923	0.453	0.653
924	0.453	0.653
925	0.452	0.652
926	0.452	0.652
927	0.452	0.651
928	0.451	0.651
929	0.451	0.651
930	0.451	0.65
931	0.45	0.65
932	0.45	0.649
933	0.45	0.649
934	0.449	0.649
935	0.449	0.648
936	0.449	0.648
937	0.448	0.647
938	0.448	0.647
939	0.448	0.647
940	0.447	0.646
941	0.447	0.646
942	0.447	0.645
943	0.446	0.645
944	0.446	0.645
945	0.446	0.644
946	0.445	0.644
947	0.445	0.643
948	0.445	0.643
949	0.444	0.643
950	0.444	0.642
951	0.444	0.642
952	0.443	0.641
953	0.443	0.641
954	0.443	0.641
955	0.442	0.64
956	0.442	0.64
957	0.442	0.639
958	0.441	0.639
959	0.441	0.639
960	0.441	0.638
961	0.44	0.638
962	0.44	0.637
963	0.44	0.637
964	0.439	0.637
965	0.439	0.636
966	0.439	0.636
967	0.438	0.635
968	0.438	0.635
969	0.438	0.635
970	0.437	0.634
971	0.437	0.634
972	0.437	0.633
973	0.436	0.633
974	0.436	0.633
975	0.436	0.632
976	0.435	0.632
977	0.435	0.632
978	0.435	0.631
979	0.435	0.631
980	0.434	0.63
981	0.434	0.63
982	0.434	0.63
983	0.433	0.629
984	0.433	0.629
985	0.433	0.628
986	0.432	0.628
987	0.432	0.628
988	0.432	0.627
989	0.431	0.627
990	0.431	0.627
991	0.431	0.626
992	0.43	0.626
993	0.43	0.625
994	0.43	0.625
995	0.429	0.625
996	0.429	0.624
997	0.429	0.624
998	0.429	0.623
999	0.428	0.623
1000	0.428	0.623
1001	0.428	0.622
1002	0.427	0.622
1003	0.427	0.622
1004	0.427	0.621
1005	0.426	0.621
1006	0.426	0.62
1007	0.426	0.62
1008	0.425	0.62
1009	0.425	0.619
1010	0.425	0.619
1011	0.425	0.619
1012	0.424	0.618
1013	0.424	0.618
1014	0.424	0.617
1015	0.423	0.617
1016	0.423	0.617
1017	0.423	0.616
1018	0.422	0.616
1019	0.422	0.615
1020	0.422	0.615
1021	0.421	0.615
1022	0.421	0.614
1023	0.421	0.614
1024	0.421	0.614
1025	0.42	0.613
1026	0.42	0.613
1027	0.42	0.612
1028	0.419	0.612
1029	0.419	0.612
1030	0.419	0.611
1031	0.418	0.611
1032	0.418	0.611
1033	0.418	0.61
1034	0.418	0.61
1035	0.417	0.61
1036	0.417	0.609
1037	0.417	0.609
1038	0.416	0.608
1039	0.416	0.608
1040	0.416	0.608
1041	0.416	0.607
1042	0.415	0.607
1043	0.415	0.607
1044	0.415	0.606
1045	0.414	0.606
1046	0.414	0.605
1047	0.414	0.605
1048	0.413	0.605
1049	0.413	0.604
1050	0.413	0.604
1051	0.413	0.604
1052	0.412	0.603
1053	0.412	0.603
1054	0.412	0.603
1055	0.411	0.602
1056	0.411	0.602
1057	0.411	0.601
1058	0.411	0.601
1059	0.41	0.601
1060	0.41	0.6
1061	0.41	0.6
1062	0.409	0.6
1063	0.409	0.599
1064	0.409	0.599
1065	0.409	0.599
1066	0.408	0.598
1067	0.408	0.598
1068	0.408	0.597
1069	0.407	0.597
1070	0.407	0.597
1071	0.407	0.596
1072	0.407	0.596
1073	0.406	0.596
1074	0.406	0.595
1075	0.406	0.595
1076	0.405	0.595
1077	0.405	0.594
1078	0.405	0.594
1079	0.405	0.594
1080	0.404	0.593
1081	0.404	0.593
1082	0.404	0.592
1083	0.403	0.592
1084	0.403	0.592
1085	0.403	0.591
1086	0.403	0.591
1087	0.402	0.591
1088	0.402	0.59
1089	0.402	0.59
1090	0.401	0.59
1091	0.401	0.589
1092	0.401	0.589
1093	0.401	0.589
1094	0.4	0.588
1095	0.4	0.588
1096	0.4	0.588
1097	0.4	0.587
1098	0.399	0.587
1099	0.399	0.586
1100	0.399	0.586
1101	0.398	0.586
1102	0.398	0.585
1103	0.398	0.585
1104	0.398	0.585
1105	0.397	0.584
1106	0.397	0.584
1107	0.397	0.584
1108	0.397	0.583
1109	0.396	0.583
1110	0.396	0.583
1111	0.396	0.582
1112	0.395	0.582
1113	0.395	0.582
1114	0.395	0.581
1115	0.395	0.581
1116	0.394	0.581
1117	0.394	0.58
1118	0.394	0.58
1119	0.394	0.58
1120	0.393	0.579
1121	0.393	0.579
1122	0.393	0.579
1123	0.392	0.578
1124	0.392	0.578
1125	0.392	0.577
1126	0.392	0.577
1127	0.391	0.577
1128	0.391	0.576
1129	0.391	0.576
1130	0.391	0.576
1131	0.39	0.575
1132	0.39	0.575
1133	0.39	0.575
1134	0.39	0.574
1135	0.389	0.574
1136	0.389	0.574
1137	0.389	0.573
1138	0.388	0.573
1139	0.388	0.573
1140	0.388	0.572
1141	0.388	0.572
1142	0.387	0.572
1143	0.387	0.571
1144	0.387	0.571
1145	0.387	0.571
1146	0.386	0.57
1147	0.386	0.57
1148	0.386	0.57
1149	0.386	0.569
1150	0.385	0.569
1151	0.385	0.569
1152	0.385	0.568
1153	0.385	0.568
1154	0.384	0.568
1155	0.384	0.567
1156	0.384	0.567
1157	0.384	0.567
1158	0.383	0.566
1159	0.383	0.566
1160	0.383	0.566
1161	0.383	0.565
1162	0.382	0.565
1163	0.382	0.565
1164	0.382	0.564
1165	0.382	0.564
1166	0.381	0.564
1167	0.381	0.563
1168	0.381	0.563
1169	0.38	0.563
1170	0.38	0.562
1171	0.38	0.562
1172	0.38	0.562
1173	0.379	0.561
1174	0.379	0.561
1175	0.379	0.561
1176	0.379	0.56
1177	0.378	0.56
1178	0.378	0.56
1179	0.378	0.559
1180	0.378	0.559
1181	0.377	0.559
1182	0.377	0.558
1183	0.377	0.558
1184	0.377	0.558
1185	0.376	0.557
1186	0.376	0.557
1187	0.376	0.557
1188	0.376	0.557
1189	0.375	0.556
1190	0.375	0.556
1191	0.375	0.556
1192	0.375	0.555
1193	0.374	0.555
1194	0.374	0.555
1195	0.374	0.554
1196	0.374	0.554
1197	0.374	0.554
1198	0.373	0.553
1199	0.373	0.553
1200	0.373	0.553
1201	0.373	0.552
1202	0.372	0.552
1203	0.372	0.552
1204	0.372	0.551
1205	0.372	0.551
1206	0.371	0.551
1207	0.371	0.55
1208	0.371	0.55
1209	0.371	0.55
1210	0.37	0.549
1211	0.37	0.549
1212	0.37	0.549
1213	0.37	0.549
1214	0.369	0.548
1215	0.369	0.548
1216	0.369	0.548
1217	0.369	0.547
1218	0.368	0.547
1219	0.368	0.547
1220	0.368	0.546
1221	0.368	0.546
1222	0.367	0.546
1223	0.367	0.545
1224	0.367	0.545
1225	0.367	0.545
1226	0.367	0.544
1227	0.366	0.544
1228	0.366	0.544
1229	0.366	0.544
1230	0.366	0.543
1231	0.365	0.543
1232	0.365	0.543
1233	0.365	0.542
1234	0.365	0.542
1235	0.364	0.542
1236	0.364	0.541
1237	0.364	0.541
1238	0.364	0.541
1239	0.363	0.54
1240	0.363	0.54
1241	0.363	0.54
1242	0.363	0.539
1243	0.363	0.539
1244	0.362	0.539
1245	0.362	0.539
1246	0.362	0.538
1247	0.362	0.538
1248	0.361	0.538
1249	0.361	0.537
1250	0.361	0.537
1251	0.361	0.537
1252	0.36	0.536
1253	0.36	0.536
1254	0.36	0.536
1255	0.36	0.536
1256	0.36	0.535
1257	0.359	0.535
1258	0.359	0.535
1259	0.359	0.534
1260	0.359	0.534
1261	0.358	0.534
1262	0.358	0.533
1263	0.358	0.533
1264	0.358	0.533
1265	0.357	0.532
1266	0.357	0.532
1267	0.357	0.532
1268	0.357	0.532
1269	0.357	0.531
1270	0.356	0.531
1271	0.356	0.531
1272	0.356	0.53
1273	0.356	0.53
1274	0.355	0.53
1275	0.355	0.529
1276	0.355	0.529
1277	0.355	0.529
1278	0.355	0.529
1279	0.354	0.528
1280	0.354	0.528
1281	0.354	0.528
1282	0.354	0.527
1283	0.353	0.527
1284	0.353	0.527
1285	0.353	0.526
1286	0.353	0.526
1287	0.353	0.526
1288	0.352	0.526
1289	0.352	0.525
1290	0.352	0.525
1291	0.352	0.525
1292	0.351	0.524
1293	0.351	0.524
1294	0.351	0.524
1295	0.351	0.524
1296	0.351	0.523
1297	0.35	0.523
1298	0.35	0.523
1299	0.35	0.522
1300	0.35	0.522
1301	0.349	0.522
1302	0.349	0.522
1303	0.349	0.521
1304	0.349	0.521
1305	0.349	0.521
1306	0.348	0.52
