R-L
f	тву	юву
578	0.171	0.964
579	0.171	0.964
580	0.17	0.964
581	0.17	0.964
582	0.17	0.965
583	0.17	0.965
584	0.169	0.965
585	0.169	0.965
586	0.169	0.965
587	0.169	0.965
588	0.168	0.965
589	0.168	0.965
590	0.168	0.965
591	0.167	0.966
592	0.167	0.966
593	0.167	0.966
594	0.167	0.966
595	0.166	0.966
596	0.166	0.966
597	0.166	0.966
598	0.166	0.966
599	0.165	0.966
600	0.165	0.967
601	0.165	0.967
602	0.165	0.967
603	0.164	0.967
604	0.164	0.967
605	0.164	0.967
606	0.164	0.967
607	0.163	0.967
608	0.163	0.967
609	0.163	0.968
610	0.162	0.968
611	0.162	0.968
612	0.162	0.968
613	0.162	0.968
614	0.161	0.968
615	0.161	0.968
616	0.161	0.968
617	0.161	0.968
618	0.16	0.968
619	0.16	0.968
620	0.16	0.969
621	0.16	0.969
622	0.159	0.969
623	0.159	0.969
624	0.159	0.969
625	0.159	0.969
626	0.158	0.969
627	0.158	0.969
628	0.158	0.969
629	0.158	0.969
630	0.158	0.97
631	0.157	0.97
632	0.157	0.97
633	0.157	0.97
634	0.157	0.97
635	0.156	0.97
636	0.156	0.97
637	0.156	0.97
638	0.156	0.97
639	0.155	0.97
640	0.155	0.97
641	0.155	0.971
642	0.155	0.971
643	0.154	0.971
644	0.154	0.971
645	0.154	0.971
646	0.154	0.971
647	0.154	0.971
648	0.153	0.971
649	0.153	0.971
650	0.153	0.971
651	0.153	0.971
652	0.152	0.971
653	0.152	0.972
654	0.152	0.972
655	0.152	0.972
656	0.152	0.972
657	0.151	0.972
658	0.151	0.972
659	0.151	0.972
660	0.151	0.972
661	0.15	0.972
662	0.15	0.972
663	0.15	0.972
664	0.15	0.972
665	0.15	0.973
666	0.149	0.973
667	0.149	0.973
668	0.149	0.973
669	0.149	0.973
670	0.148	0.973
671	0.148	0.973
672	0.148	0.973
673	0.148	0.973
674	0.148	0.973
675	0.147	0.973
676	0.147	0.973
677	0.147	0.973
678	0.147	0.974
679	0.147	0.974
680	0.146	0.974
681	0.146	0.974
682	0.146	0.974
683	0.146	0.974
684	0.146	0.974
685	0.145	0.974
686	0.145	0.974
687	0.145	0.974
688	0.145	0.974
689	0.145	0.974
690	0.144	0.974
691	0.144	0.974
692	0.144	0.975
693	0.144	0.975
694	0.144	0.975
695	0.143	0.975
696	0.143	0.975
697	0.143	0.975
698	0.143	0.975
699	0.143	0.975
700	0.142	0.975
701	0.142	0.975
702	0.142	0.975
703	0.142	0.975
704	0.142	0.975
705	0.141	0.975
706	0.141	0.976
707	0.141	0.976
708	0.141	0.976
709	0.141	0.976
710	0.14	0.976
711	0.14	0.976
712	0.14	0.976
713	0.14	0.976
714	0.14	0.976
715	0.139	0.976
716	0.139	0.976
717	0.139	0.976
718	0.139	0.976
719	0.139	0.976
720	0.138	0.976
721	0.138	0.976
722	0.138	0.977
723	0.138	0.977
724	0.138	0.977
725	0.138	0.977
726	0.137	0.977
727	0.137	0.977
728	0.137	0.977
729	0.137	0.977
730	0.137	0.977
